Date,TestName,Result,Mean,SD,ReferenceLow,ReferenceHigh,WestgardRuleViolated,Pass,Comments
2024-05-22,Glucose,87.0,100.0,5.0,70.0,110.0,None,Pass,Within 2SD
2024-05-22,Sodium,139.0,140.0,3.0,135.0,145.0,None,Pass,Within 2SD
2024-05-22,Potassium,5.2,4.5,0.5,3.5,5.1,R-4s,Fail,Alternating >+2SD and <-2SD
2024-05-22,Chloride,104.0,102.0,2.0,98.0,107.0,None,Pass,Within 2SD
2024-05-22,Calcium,9.2,9.5,0.4,8.4,10.2,None,Pass,Within 2SD
2024-05-22,Total Protein,7.3,7.0,0.3,6.0,8.0,None,Pass,Within 2SD
2024-05-22,Albumin,4.2,4.3,0.2,3.5,5.0,None,Pass,Within 2SD
2024-05-22,BUN,17.0,16.0,3.0,7.0,25.0,None,Pass,Within 2SD
2024-05-22,Creatinine,1.4,1.0,0.15,0.6,1.3,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-22,CO2,25.0,25.0,1.0,21.0,30.0,None,Pass,Within 2SD
